CODE,DESCRIPTION,CATEGORY
M02811,"Other reactive arthropathies, right shoulder",Musculoskeletal & Connective Tissue Diseases
M02812,"Other reactive arthropathies, left shoulder",Musculoskeletal & Connective Tissue Diseases
M02819,"Other reactive arthropathies, unspecified shoulder",Musculoskeletal & Connective Tissue Diseases
M02821,"Other reactive arthropathies, right elbow",Musculoskeletal & Connective Tissue Diseases
M02822,"Other reactive arthropathies, left elbow",Musculoskeletal & Connective Tissue Diseases
M02829,"Other reactive arthropathies, unspecified elbow",Musculoskeletal & Connective Tissue Diseases
M02831,"Other reactive arthropathies, right wrist",Musculoskeletal & Connective Tissue Diseases
M02832,"Other reactive arthropathies, left wrist",Musculoskeletal & Connective Tissue Diseases
M02839,"Other reactive arthropathies, unspecified wrist",Musculoskeletal & Connective Tissue Diseases
M02841,"Other reactive arthropathies, right hand",Musculoskeletal & Connective Tissue Diseases
M02842,"Other reactive arthropathies, left hand",Musculoskeletal & Connective Tissue Diseases
M02849,"Other reactive arthropathies, unspecified hand",Musculoskeletal & Connective Tissue Diseases
M02851,"Other reactive arthropathies, right hip",Musculoskeletal & Connective Tissue Diseases
M02852,"Other reactive arthropathies, left hip",Musculoskeletal & Connective Tissue Diseases
M02859,"Other reactive arthropathies, unspecified hip",Musculoskeletal & Connective Tissue Diseases
M02861,"Other reactive arthropathies, right knee",Musculoskeletal & Connective Tissue Diseases
M02862,"Other reactive arthropathies, left knee",Musculoskeletal & Connective Tissue Diseases
M02869,"Other reactive arthropathies, unspecified knee",Musculoskeletal & Connective Tissue Diseases
M02871,"Other reactive arthropathies, right ankle and foot",Musculoskeletal & Connective Tissue Diseases
M02872,"Other reactive arthropathies, left ankle and foot",Musculoskeletal & Connective Tissue Diseases
M02879,"Other reactive arthropathies, unspecified ankle and foot",Musculoskeletal & Connective Tissue Diseases
M0288,"Other reactive arthropathies, vertebrae",Musculoskeletal & Connective Tissue Diseases
M0289,"Other reactive arthropathies, multiple sites",Musculoskeletal & Connective Tissue Diseases
M029,"Reactive arthropathy, unspecified",Musculoskeletal & Connective Tissue Diseases
M041,Periodic fever syndromes,Musculoskeletal & Connective Tissue Diseases
M042,Cryopyrin-associated periodic syndromes,Musculoskeletal & Connective Tissue Diseases
M048,Other autoinflammatory syndromes,Musculoskeletal & Connective Tissue Diseases
M049,"Autoinflammatory syndrome, unspecified",Musculoskeletal & Connective Tissue Diseases
M0500,"Felty's syndrome, unspecified site",Musculoskeletal & Connective Tissue Diseases
M05011,"Felty's syndrome, right shoulder",Musculoskeletal & Connective Tissue Diseases
M05012,"Felty's syndrome, left shoulder",Musculoskeletal & Connective Tissue Diseases
M05019,"Felty's syndrome, unspecified shoulder",Musculoskeletal & Connective Tissue Diseases
M05021,"Felty's syndrome, right elbow",Musculoskeletal & Connective Tissue Diseases
M05022,"Felty's syndrome, left elbow",Musculoskeletal & Connective Tissue Diseases
M05029,"Felty's syndrome, unspecified elbow",Musculoskeletal & Connective Tissue Diseases
M05031,"Felty's syndrome, right wrist",Musculoskeletal & Connective Tissue Diseases
M05032,"Felty's syndrome, left wrist",Musculoskeletal & Connective Tissue Diseases
M05039,"Felty's syndrome, unspecified wrist",Musculoskeletal & Connective Tissue Diseases
M05041,"Felty's syndrome, right hand",Musculoskeletal & Connective Tissue Diseases
M05042,"Felty's syndrome, left hand",Musculoskeletal & Connective Tissue Diseases
M05049,"Felty's syndrome, unspecified hand",Musculoskeletal & Connective Tissue Diseases
M05051,"Felty's syndrome, right hip",Musculoskeletal & Connective Tissue Diseases
M05052,"Felty's syndrome, left hip",Musculoskeletal & Connective Tissue Diseases
M05059,"Felty's syndrome, unspecified hip",Musculoskeletal & Connective Tissue Diseases
M05061,"Felty's syndrome, right knee",Musculoskeletal & Connective Tissue Diseases
M05062,"Felty's syndrome, left knee",Musculoskeletal & Connective Tissue Diseases
M05069,"Felty's syndrome, unspecified knee",Musculoskeletal & Connective Tissue Diseases
M05071,"Felty's syndrome, right ankle and foot",Musculoskeletal & Connective Tissue Diseases
M05072,"Felty's syndrome, left ankle and foot",Musculoskeletal & Connective Tissue Diseases
M05079,"Felty's syndrome, unspecified ankle and foot",Musculoskeletal & Connective Tissue Diseases
M0509,"Felty's syndrome, multiple sites",Musculoskeletal & Connective Tissue Diseases
M0510,Rheumatoid lung disease w rheumatoid arthritis of unsp site,Musculoskeletal & Connective Tissue Diseases
M05111,Rheumatoid lung disease w rheumatoid arthritis of r shoulder,Musculoskeletal & Connective Tissue Diseases
M05112,Rheumatoid lung disease w rheumatoid arthritis of l shoulder,Musculoskeletal & Connective Tissue Diseases
M05119,Rheu lung disease w rheumatoid arthritis of unsp shoulder,Musculoskeletal & Connective Tissue Diseases
M05121,Rheumatoid lung disease w rheumatoid arthritis of r elbow,Musculoskeletal & Connective Tissue Diseases
M05122,Rheumatoid lung disease w rheumatoid arthritis of left elbow,Musculoskeletal & Connective Tissue Diseases
M05129,Rheumatoid lung disease w rheumatoid arthritis of unsp elbow,Musculoskeletal & Connective Tissue Diseases
M05131,Rheumatoid lung disease w rheumatoid arthritis of r wrist,Musculoskeletal & Connective Tissue Diseases
M05132,Rheumatoid lung disease w rheumatoid arthritis of left wrist,Musculoskeletal & Connective Tissue Diseases
M05139,Rheumatoid lung disease w rheumatoid arthritis of unsp wrist,Musculoskeletal & Connective Tissue Diseases
M05141,Rheumatoid lung disease w rheumatoid arthritis of right hand,Musculoskeletal & Connective Tissue Diseases
M05142,Rheumatoid lung disease w rheumatoid arthritis of left hand,Musculoskeletal & Connective Tissue Diseases
M05149,Rheumatoid lung disease w rheumatoid arthritis of unsp hand,Musculoskeletal & Connective Tissue Diseases
M05151,Rheumatoid lung disease w rheumatoid arthritis of right hip,Musculoskeletal & Connective Tissue Diseases
M05152,Rheumatoid lung disease w rheumatoid arthritis of left hip,Musculoskeletal & Connective Tissue Diseases
M05159,Rheumatoid lung disease w rheumatoid arthritis of unsp hip,Musculoskeletal & Connective Tissue Diseases
M05161,Rheumatoid lung disease w rheumatoid arthritis of right knee,Musculoskeletal & Connective Tissue Diseases
M05162,Rheumatoid lung disease w rheumatoid arthritis of left knee,Musculoskeletal & Connective Tissue Diseases
M05169,Rheumatoid lung disease w rheumatoid arthritis of unsp knee,Musculoskeletal & Connective Tissue Diseases
M05171,Rheu lung disease w rheumatoid arthritis of right ank/ft,Musculoskeletal & Connective Tissue Diseases
M05172,Rheu lung disease w rheumatoid arthritis of left ank/ft,Musculoskeletal & Connective Tissue Diseases
M05179,Rheu lung disease w rheumatoid arthritis of unsp ank/ft,Musculoskeletal & Connective Tissue Diseases
M0519,Rheumatoid lung disease w rheumatoid arthritis mult site,Musculoskeletal & Connective Tissue Diseases
M0520,Rheumatoid vasculitis with rheumatoid arthritis of unsp site,Musculoskeletal & Connective Tissue Diseases
M05211,Rheumatoid vasculitis w rheumatoid arthritis of r shoulder,Musculoskeletal & Connective Tissue Diseases
M05212,Rheumatoid vasculitis w rheumatoid arthritis of l shoulder,Musculoskeletal & Connective Tissue Diseases
M05219,Rheu vasculitis w rheumatoid arthritis of unsp shoulder,Musculoskeletal & Connective Tissue Diseases
M05221,Rheumatoid vasculitis w rheumatoid arthritis of right elbow,Musculoskeletal & Connective Tissue Diseases
M05222,Rheumatoid vasculitis w rheumatoid arthritis of left elbow,Musculoskeletal & Connective Tissue Diseases
M05229,Rheumatoid vasculitis w rheumatoid arthritis of unsp elbow,Musculoskeletal & Connective Tissue Diseases
M05231,Rheumatoid vasculitis w rheumatoid arthritis of right wrist,Musculoskeletal & Connective Tissue Diseases
M05232,Rheumatoid vasculitis w rheumatoid arthritis of left wrist,Musculoskeletal & Connective Tissue Diseases
M05239,Rheumatoid vasculitis w rheumatoid arthritis of unsp wrist,Musculoskeletal & Connective Tissue Diseases
M05241,Rheumatoid vasculitis w rheumatoid arthritis of right hand,Musculoskeletal & Connective Tissue Diseases
M05242,Rheumatoid vasculitis with rheumatoid arthritis of left hand,Musculoskeletal & Connective Tissue Diseases
M05249,Rheumatoid vasculitis with rheumatoid arthritis of unsp hand,Musculoskeletal & Connective Tissue Diseases
M05251,Rheumatoid vasculitis with rheumatoid arthritis of right hip,Musculoskeletal & Connective Tissue Diseases
M05252,Rheumatoid vasculitis with rheumatoid arthritis of left hip,Musculoskeletal & Connective Tissue Diseases
M05259,Rheumatoid vasculitis with rheumatoid arthritis of unsp hip,Musculoskeletal & Connective Tissue Diseases
M05261,Rheumatoid vasculitis w rheumatoid arthritis of right knee,Musculoskeletal & Connective Tissue Diseases
M05262,Rheumatoid vasculitis with rheumatoid arthritis of left knee,Musculoskeletal & Connective Tissue Diseases
M05269,Rheumatoid vasculitis with rheumatoid arthritis of unsp knee,Musculoskeletal & Connective Tissue Diseases
M05271,Rheumatoid vasculitis w rheumatoid arthritis of right ank/ft,Musculoskeletal & Connective Tissue Diseases
M05272,Rheumatoid vasculitis w rheumatoid arthritis of left ank/ft,Musculoskeletal & Connective Tissue Diseases
M05279,Rheumatoid vasculitis w rheumatoid arthritis of unsp ank/ft,Musculoskeletal & Connective Tissue Diseases
M0529,Rheumatoid vasculitis w rheumatoid arthritis mult site,Musculoskeletal & Connective Tissue Diseases
M0530,Rheumatoid heart disease w rheumatoid arthritis of unsp site,Musculoskeletal & Connective Tissue Diseases
M05311,Rheu heart disease w rheumatoid arthritis of r shoulder,Musculoskeletal & Connective Tissue Diseases
M05312,Rheu heart disease w rheumatoid arthritis of l shoulder,Musculoskeletal & Connective Tissue Diseases
M05319,Rheu heart disease w rheumatoid arthritis of unsp shoulder,Musculoskeletal & Connective Tissue Diseases
M05321,Rheumatoid heart disease w rheumatoid arthritis of r elbow,Musculoskeletal & Connective Tissue Diseases
M05322,Rheumatoid heart disease w rheumatoid arthritis of l elbow,Musculoskeletal & Connective Tissue Diseases
M05329,Rheu heart disease w rheumatoid arthritis of unsp elbow,Musculoskeletal & Connective Tissue Diseases
M05331,Rheumatoid heart disease w rheumatoid arthritis of r wrist,Musculoskeletal & Connective Tissue Diseases
M05332,Rheumatoid heart disease w rheumatoid arthritis of l wrist,Musculoskeletal & Connective Tissue Diseases
M05339,Rheu heart disease w rheumatoid arthritis of unsp wrist,Musculoskeletal & Connective Tissue Diseases
M05341,Rheu heart disease w rheumatoid arthritis of right hand,Musculoskeletal & Connective Tissue Diseases
M05342,Rheumatoid heart disease w rheumatoid arthritis of left hand,Musculoskeletal & Connective Tissue Diseases
M05349,Rheumatoid heart disease w rheumatoid arthritis of unsp hand,Musculoskeletal & Connective Tissue Diseases
M05351,Rheumatoid heart disease w rheumatoid arthritis of right hip,Musculoskeletal & Connective Tissue Diseases
M05352,Rheumatoid heart disease w rheumatoid arthritis of left hip,Musculoskeletal & Connective Tissue Diseases
M05359,Rheumatoid heart disease w rheumatoid arthritis of unsp hip,Musculoskeletal & Connective Tissue Diseases
M05361,Rheu heart disease w rheumatoid arthritis of right knee,Musculoskeletal & Connective Tissue Diseases
M05362,Rheumatoid heart disease w rheumatoid arthritis of left knee,Musculoskeletal & Connective Tissue Diseases
M05369,Rheumatoid heart disease w rheumatoid arthritis of unsp knee,Musculoskeletal & Connective Tissue Diseases
M05371,Rheu heart disease w rheumatoid arthritis of right ank/ft,Musculoskeletal & Connective Tissue Diseases
M05372,Rheu heart disease w rheumatoid arthritis of left ank/ft,Musculoskeletal & Connective Tissue Diseases
M05379,Rheu heart disease w rheumatoid arthritis of unsp ank/ft,Musculoskeletal & Connective Tissue Diseases
M0539,Rheumatoid heart disease w rheumatoid arthritis mult site,Musculoskeletal & Connective Tissue Diseases
M0540,Rheumatoid myopathy with rheumatoid arthritis of unsp site,Musculoskeletal & Connective Tissue Diseases
M05411,Rheumatoid myopathy w rheumatoid arthritis of right shoulder,Musculoskeletal & Connective Tissue Diseases
M05412,Rheumatoid myopathy w rheumatoid arthritis of left shoulder,Musculoskeletal & Connective Tissue Diseases
M05419,Rheumatoid myopathy w rheumatoid arthritis of unsp shoulder,Musculoskeletal & Connective Tissue Diseases
M05421,Rheumatoid myopathy with rheumatoid arthritis of right elbow,Musculoskeletal & Connective Tissue Diseases
M05422,Rheumatoid myopathy with rheumatoid arthritis of left elbow,Musculoskeletal & Connective Tissue Diseases
M05429,Rheumatoid myopathy with rheumatoid arthritis of unsp elbow,Musculoskeletal & Connective Tissue Diseases
M05431,Rheumatoid myopathy with rheumatoid arthritis of right wrist,Musculoskeletal & Connective Tissue Diseases
M05432,Rheumatoid myopathy with rheumatoid arthritis of left wrist,Musculoskeletal & Connective Tissue Diseases
M05439,Rheumatoid myopathy with rheumatoid arthritis of unsp wrist,Musculoskeletal & Connective Tissue Diseases
M05441,Rheumatoid myopathy with rheumatoid arthritis of right hand,Musculoskeletal & Connective Tissue Diseases
M05442,Rheumatoid myopathy with rheumatoid arthritis of left hand,Musculoskeletal & Connective Tissue Diseases
M05449,Rheumatoid myopathy with rheumatoid arthritis of unsp hand,Musculoskeletal & Connective Tissue Diseases
M05451,Rheumatoid myopathy with rheumatoid arthritis of right hip,Musculoskeletal & Connective Tissue Diseases
M05452,Rheumatoid myopathy with rheumatoid arthritis of left hip,Musculoskeletal & Connective Tissue Diseases
M05459,Rheumatoid myopathy with rheumatoid arthritis of unsp hip,Musculoskeletal & Connective Tissue Diseases
M05461,Rheumatoid myopathy with rheumatoid arthritis of right knee,Musculoskeletal & Connective Tissue Diseases
M05462,Rheumatoid myopathy with rheumatoid arthritis of left knee,Musculoskeletal & Connective Tissue Diseases
M05469,Rheumatoid myopathy with rheumatoid arthritis of unsp knee,Musculoskeletal & Connective Tissue Diseases
M05471,Rheumatoid myopathy w rheumatoid arthritis of right ank/ft,Musculoskeletal & Connective Tissue Diseases
M05472,Rheumatoid myopathy w rheumatoid arthritis of left ank/ft,Musculoskeletal & Connective Tissue Diseases
M05479,Rheumatoid myopathy w rheumatoid arthritis of unsp ank/ft,Musculoskeletal & Connective Tissue Diseases
M0549,Rheumatoid myopathy w rheumatoid arthritis of multiple sites,Musculoskeletal & Connective Tissue Diseases
M0550,Rheumatoid polyneurop w rheumatoid arthritis of unsp site,Musculoskeletal & Connective Tissue Diseases
M05511,Rheumatoid polyneurop w rheumatoid arthritis of r shoulder,Musculoskeletal & Connective Tissue Diseases
M05512,Rheumatoid polyneurop w rheumatoid arthritis of l shoulder,Musculoskeletal & Connective Tissue Diseases
M05519,Rheu polyneurop w rheumatoid arthritis of unsp shoulder,Musculoskeletal & Connective Tissue Diseases
M05521,Rheumatoid polyneurop w rheumatoid arthritis of right elbow,Musculoskeletal & Connective Tissue Diseases
M05522,Rheumatoid polyneurop w rheumatoid arthritis of left elbow,Musculoskeletal & Connective Tissue Diseases
M05529,Rheumatoid polyneurop w rheumatoid arthritis of unsp elbow,Musculoskeletal & Connective Tissue Diseases
M05531,Rheumatoid polyneurop w rheumatoid arthritis of right wrist,Musculoskeletal & Connective Tissue Diseases
M05532,Rheumatoid polyneurop w rheumatoid arthritis of left wrist,Musculoskeletal & Connective Tissue Diseases
M05539,Rheumatoid polyneurop w rheumatoid arthritis of unsp wrist,Musculoskeletal & Connective Tissue Diseases
M05541,Rheumatoid polyneurop w rheumatoid arthritis of right hand,Musculoskeletal & Connective Tissue Diseases
M05542,Rheumatoid polyneurop w rheumatoid arthritis of left hand,Musculoskeletal & Connective Tissue Diseases
M05549,Rheumatoid polyneurop w rheumatoid arthritis of unsp hand,Musculoskeletal & Connective Tissue Diseases
M05551,Rheumatoid polyneurop w rheumatoid arthritis of right hip,Musculoskeletal & Connective Tissue Diseases
M05552,Rheumatoid polyneuropathy w rheumatoid arthritis of left hip,Musculoskeletal & Connective Tissue Diseases
M05559,Rheumatoid polyneuropathy w rheumatoid arthritis of unsp hip,Musculoskeletal & Connective Tissue Diseases
M05561,Rheumatoid polyneurop w rheumatoid arthritis of right knee,Musculoskeletal & Connective Tissue Diseases
M05562,Rheumatoid polyneurop w rheumatoid arthritis of left knee,Musculoskeletal & Connective Tissue Diseases
M05569,Rheumatoid polyneurop w rheumatoid arthritis of unsp knee,Musculoskeletal & Connective Tissue Diseases
M05571,Rheumatoid polyneurop w rheumatoid arthritis of right ank/ft,Musculoskeletal & Connective Tissue Diseases
M05572,Rheumatoid polyneurop w rheumatoid arthritis of left ank/ft,Musculoskeletal & Connective Tissue Diseases
M05579,Rheumatoid polyneurop w rheumatoid arthritis of unsp ank/ft,Musculoskeletal & Connective Tissue Diseases
M0559,Rheumatoid polyneuropathy w rheumatoid arthritis mult site,Musculoskeletal & Connective Tissue Diseases
M0560,Rheu arthritis of unsp site w involv of organs and systems,Musculoskeletal & Connective Tissue Diseases
M05611,Rheu arthritis of r shoulder w involv of organs and systems,Musculoskeletal & Connective Tissue Diseases
M05612,Rheu arthritis of l shoulder w involv of organs and systems,Musculoskeletal & Connective Tissue Diseases
M05619,Rheu arthrit of unsp shoulder w involv of organs and systems,Musculoskeletal & Connective Tissue Diseases
M05621,Rheu arthritis of r elbow w involv of organs and systems,Musculoskeletal & Connective Tissue Diseases
M05622,Rheu arthritis of l elbow w involv of organs and systems,Musculoskeletal & Connective Tissue Diseases
M05629,Rheu arthritis of unsp elbow w involv of organs and systems,Musculoskeletal & Connective Tissue Diseases
M05631,Rheu arthritis of r wrist w involv of organs and systems,Musculoskeletal & Connective Tissue Diseases
M05632,Rheu arthritis of l wrist w involv of organs and systems,Musculoskeletal & Connective Tissue Diseases
M05639,Rheu arthritis of unsp wrist w involv of organs and systems,Musculoskeletal & Connective Tissue Diseases
M05641,Rheu arthritis of right hand w involv of organs and systems,Musculoskeletal & Connective Tissue Diseases
M05642,Rheu arthritis of left hand w involv of organs and systems,Musculoskeletal & Connective Tissue Diseases
M05649,Rheu arthritis of unsp hand w involv of organs and systems,Musculoskeletal & Connective Tissue Diseases
M05651,Rheu arthritis of right hip w involv of organs and systems,Musculoskeletal & Connective Tissue Diseases
M05652,Rheu arthritis of left hip w involv of organs and systems,Musculoskeletal & Connective Tissue Diseases
M05659,Rheu arthritis of unsp hip w involv of organs and systems,Musculoskeletal & Connective Tissue Diseases
M05661,Rheu arthritis of right knee w involv of organs and systems,Musculoskeletal & Connective Tissue Diseases
M05662,Rheu arthritis of left knee w involv of organs and systems,Musculoskeletal & Connective Tissue Diseases
M05669,Rheu arthritis of unsp knee w involv of organs and systems,Musculoskeletal & Connective Tissue Diseases
M05671,Rheu arthrit of right ank/ft w involv of organs and systems,Musculoskeletal & Connective Tissue Diseases
M05672,Rheu arthritis of left ank/ft w involv of organs and systems,Musculoskeletal & Connective Tissue Diseases
M05679,Rheu arthritis of unsp ank/ft w involv of organs and systems,Musculoskeletal & Connective Tissue Diseases
M0569,Rheu arthritis mult site w involv of organs and systems,Musculoskeletal & Connective Tissue Diseases
M0570,Rheu arthritis w rheu factor of unsp site w/o org/sys involv,Musculoskeletal & Connective Tissue Diseases
M05711,Rheu arthrit w rheu factor of r shoulder w/o org/sys involv,Musculoskeletal & Connective Tissue Diseases
M05712,Rheu arthrit w rheu factor of l shoulder w/o org/sys involv,Musculoskeletal & Connective Tissue Diseases
M05719,Rheu arthrit w rheu factor of unsp shldr w/o org/sys involv,Musculoskeletal & Connective Tissue Diseases
M05721,Rheu arthritis w rheu factor of r elbow w/o org/sys involv,Musculoskeletal & Connective Tissue Diseases
M05722,Rheu arthritis w rheu factor of l elbow w/o org/sys involv,Musculoskeletal & Connective Tissue Diseases
M05729,Rheu arthrit w rheu factor of unsp elbow w/o org/sys involv,Musculoskeletal & Connective Tissue Diseases
M05731,Rheu arthritis w rheu factor of r wrist w/o org/sys involv,Musculoskeletal & Connective Tissue Diseases
M05732,Rheu arthritis w rheu factor of l wrist w/o org/sys involv,Musculoskeletal & Connective Tissue Diseases
M05739,Rheu arthrit w rheu factor of unsp wrist w/o org/sys involv,Musculoskeletal & Connective Tissue Diseases
M05741,Rheu arthritis w rheu factor of r hand w/o org/sys involv,Musculoskeletal & Connective Tissue Diseases
M05742,Rheu arthritis w rheu factor of left hand w/o org/sys involv,Musculoskeletal & Connective Tissue Diseases
M05749,Rheu arthritis w rheu factor of unsp hand w/o org/sys involv,Musculoskeletal & Connective Tissue Diseases
M05751,Rheu arthritis w rheu factor of right hip w/o org/sys involv,Musculoskeletal & Connective Tissue Diseases
M05752,Rheu arthritis w rheu factor of left hip w/o org/sys involv,Musculoskeletal & Connective Tissue Diseases
M05759,Rheu arthritis w rheu factor of unsp hip w/o org/sys involv,Musculoskeletal & Connective Tissue Diseases
M05761,Rheu arthritis w rheu factor of r knee w/o org/sys involv,Musculoskeletal & Connective Tissue Diseases
M05762,Rheu arthritis w rheu factor of left knee w/o org/sys involv,Musculoskeletal & Connective Tissue Diseases
M05769,Rheu arthritis w rheu factor of unsp knee w/o org/sys involv,Musculoskeletal & Connective Tissue Diseases
M05771,Rheu arthrit w rheu fctr of right ank/ft w/o org/sys involv,Musculoskeletal & Connective Tissue Diseases
M05772,Rheu arthrit w rheu factor of left ank/ft w/o org/sys involv,Musculoskeletal & Connective Tissue Diseases
M05779,Rheu arthrit w rheu factor of unsp ank/ft w/o org/sys involv,Musculoskeletal & Connective Tissue Diseases
M0579,Rheu arthritis w rheu factor mult site w/o org/sys involv,Musculoskeletal & Connective Tissue Diseases
M057A,Rheu arthrit with rheu factor of oth site w/o org/sys invl,Musculoskeletal & Connective Tissue Diseases
M0580,Oth rheumatoid arthritis with rheumatoid factor of unsp site,Musculoskeletal & Connective Tissue Diseases
M05811,Oth rheumatoid arthritis w rheumatoid factor of r shoulder,Musculoskeletal & Connective Tissue Diseases
M05812,Oth rheumatoid arthritis w rheumatoid factor of l shoulder,Musculoskeletal & Connective Tissue Diseases
M05819,Oth rheu arthritis w rheumatoid factor of unsp shoulder,Musculoskeletal & Connective Tissue Diseases
M05821,Oth rheumatoid arthritis w rheumatoid factor of right elbow,Musculoskeletal & Connective Tissue Diseases
M05822,Oth rheumatoid arthritis w rheumatoid factor of left elbow,Musculoskeletal & Connective Tissue Diseases
M05829,Oth rheumatoid arthritis w rheumatoid factor of unsp elbow,Musculoskeletal & Connective Tissue Diseases
M05831,Oth rheumatoid arthritis w rheumatoid factor of right wrist,Musculoskeletal & Connective Tissue Diseases
M05832,Oth rheumatoid arthritis w rheumatoid factor of left wrist,Musculoskeletal & Connective Tissue Diseases
M05839,Oth rheumatoid arthritis w rheumatoid factor of unsp wrist,Musculoskeletal & Connective Tissue Diseases
M05841,Oth rheumatoid arthritis w rheumatoid factor of right hand,Musculoskeletal & Connective Tissue Diseases
M05842,Oth rheumatoid arthritis with rheumatoid factor of left hand,Musculoskeletal & Connective Tissue Diseases
M05849,Oth rheumatoid arthritis with rheumatoid factor of unsp hand,Musculoskeletal & Connective Tissue Diseases
M05851,Oth rheumatoid arthritis with rheumatoid factor of right hip,Musculoskeletal & Connective Tissue Diseases
M05852,Oth rheumatoid arthritis with rheumatoid factor of left hip,Musculoskeletal & Connective Tissue Diseases
M05859,Oth rheumatoid arthritis with rheumatoid factor of unsp hip,Musculoskeletal & Connective Tissue Diseases
M05861,Oth rheumatoid arthritis w rheumatoid factor of right knee,Musculoskeletal & Connective Tissue Diseases
M05862,Oth rheumatoid arthritis with rheumatoid factor of left knee,Musculoskeletal & Connective Tissue Diseases
M05869,Oth rheumatoid arthritis with rheumatoid factor of unsp knee,Musculoskeletal & Connective Tissue Diseases
M05871,Oth rheumatoid arthritis w rheumatoid factor of right ank/ft,Musculoskeletal & Connective Tissue Diseases
M05872,Oth rheumatoid arthritis w rheumatoid factor of left ank/ft,Musculoskeletal & Connective Tissue Diseases
M05879,Oth rheumatoid arthritis w rheumatoid factor of unsp ank/ft,Musculoskeletal & Connective Tissue Diseases
M0589,Oth rheumatoid arthritis w rheumatoid factor mult site,Musculoskeletal & Connective Tissue Diseases
M058A,Other rheu arthritis with rheumatoid factor of oth site,Musculoskeletal & Connective Tissue Diseases
M059,"Rheumatoid arthritis with rheumatoid factor, unspecified",Musculoskeletal & Connective Tissue Diseases
M05A,Abnormal rheumatoid factor and anti-citrullinated protein antibody with rheumatoid arthritis,Musculoskeletal & Connective Tissue Diseases
M0600,"Rheumatoid arthritis without rheumatoid factor, unsp site",Musculoskeletal & Connective Tissue Diseases
M06011,"Rheumatoid arthritis w/o rheumatoid factor, right shoulder",Musculoskeletal & Connective Tissue Diseases
M06012,"Rheumatoid arthritis w/o rheumatoid factor, left shoulder",Musculoskeletal & Connective Tissue Diseases
M06019,"Rheumatoid arthritis w/o rheumatoid factor, unsp shoulder",Musculoskeletal & Connective Tissue Diseases
M06021,"Rheumatoid arthritis without rheumatoid factor, right elbow",Musculoskeletal & Connective Tissue Diseases
M06022,"Rheumatoid arthritis without rheumatoid factor, left elbow",Musculoskeletal & Connective Tissue Diseases
M06029,"Rheumatoid arthritis without rheumatoid factor, unsp elbow",Musculoskeletal & Connective Tissue Diseases
M06031,"Rheumatoid arthritis without rheumatoid factor, right wrist",Musculoskeletal & Connective Tissue Diseases
M06032,"Rheumatoid arthritis without rheumatoid factor, left wrist",Musculoskeletal & Connective Tissue Diseases
M06039,"Rheumatoid arthritis without rheumatoid factor, unsp wrist",Musculoskeletal & Connective Tissue Diseases
M06041,"Rheumatoid arthritis without rheumatoid factor, right hand",Musculoskeletal & Connective Tissue Diseases
M06042,"Rheumatoid arthritis without rheumatoid factor, left hand",Musculoskeletal & Connective Tissue Diseases
M06049,"Rheumatoid arthritis without rheumatoid factor, unsp hand",Musculoskeletal & Connective Tissue Diseases
M06051,"Rheumatoid arthritis without rheumatoid factor, right hip",Musculoskeletal & Connective Tissue Diseases
M06052,"Rheumatoid arthritis without rheumatoid factor, left hip",Musculoskeletal & Connective Tissue Diseases
M06059,"Rheumatoid arthritis without rheumatoid factor, unsp hip",Musculoskeletal & Connective Tissue Diseases
M06061,"Rheumatoid arthritis without rheumatoid factor, right knee",Musculoskeletal & Connective Tissue Diseases
M06062,"Rheumatoid arthritis without rheumatoid factor, left knee",Musculoskeletal & Connective Tissue Diseases
M06069,"Rheumatoid arthritis without rheumatoid factor, unsp knee",Musculoskeletal & Connective Tissue Diseases
M06071,"Rheumatoid arthritis w/o rheumatoid factor, right ank/ft",Musculoskeletal & Connective Tissue Diseases
M06072,"Rheumatoid arthritis w/o rheumatoid factor, left ank/ft",Musculoskeletal & Connective Tissue Diseases
M06079,"Rheumatoid arthritis w/o rheumatoid factor, unsp ank/ft",Musculoskeletal & Connective Tissue Diseases
M0608,"Rheumatoid arthritis without rheumatoid factor, vertebrae",Musculoskeletal & Connective Tissue Diseases
M0609,"Rheumatoid arthritis w/o rheumatoid factor, multiple sites",Musculoskeletal & Connective Tissue Diseases
M060A,"Rheumatoid arthritis without rheumatoid factor, oth site",Musculoskeletal & Connective Tissue Diseases
M061,Adult-onset Still's disease,Musculoskeletal & Connective Tissue Diseases
M0620,"Rheumatoid bursitis, unspecified site",Musculoskeletal & Connective Tissue Diseases
M06211,"Rheumatoid bursitis, right shoulder",Musculoskeletal & Connective Tissue Diseases
M06212,"Rheumatoid bursitis, left shoulder",Musculoskeletal & Connective Tissue Diseases
M06219,"Rheumatoid bursitis, unspecified shoulder",Musculoskeletal & Connective Tissue Diseases
M06221,"Rheumatoid bursitis, right elbow",Musculoskeletal & Connective Tissue Diseases
M06222,"Rheumatoid bursitis, left elbow",Musculoskeletal & Connective Tissue Diseases
M06229,"Rheumatoid bursitis, unspecified elbow",Musculoskeletal & Connective Tissue Diseases
M06231,"Rheumatoid bursitis, right wrist",Musculoskeletal & Connective Tissue Diseases
M06232,"Rheumatoid bursitis, left wrist",Musculoskeletal & Connective Tissue Diseases
M06239,"Rheumatoid bursitis, unspecified wrist",Musculoskeletal & Connective Tissue Diseases
M06241,"Rheumatoid bursitis, right hand",Musculoskeletal & Connective Tissue Diseases
