CODE,DESCRIPTION,CATEGORY
A1809,Other musculoskeletal tuberculosis,Infectious & Parasitic Diseases
A1810,"Tuberculosis of genitourinary system, unspecified",Infectious & Parasitic Diseases
A1811,Tuberculosis of kidney and ureter,Infectious & Parasitic Diseases
A1812,Tuberculosis of bladder,Infectious & Parasitic Diseases
A1813,Tuberculosis of other urinary organs,Infectious & Parasitic Diseases
A1814,Tuberculosis of prostate,Infectious & Parasitic Diseases
A1815,Tuberculosis of other male genital organs,Infectious & Parasitic Diseases
A1816,Tuberculosis of cervix,Infectious & Parasitic Diseases
A1817,Tuberculous female pelvic inflammatory disease,Infectious & Parasitic Diseases
A1818,Tuberculosis of other female genital organs,Infectious & Parasitic Diseases
A182,Tuberculous peripheral lymphadenopathy,Infectious & Parasitic Diseases
A1831,Tuberculous peritonitis,Infectious & Parasitic Diseases
A1832,Tuberculous enteritis,Infectious & Parasitic Diseases
A1839,Retroperitoneal tuberculosis,Infectious & Parasitic Diseases
A184,Tuberculosis of skin and subcutaneous tissue,Infectious & Parasitic Diseases
A1850,"Tuberculosis of eye, unspecified",Infectious & Parasitic Diseases
A1851,Tuberculous episcleritis,Infectious & Parasitic Diseases
A1852,Tuberculous keratitis,Infectious & Parasitic Diseases
A1853,Tuberculous chorioretinitis,Infectious & Parasitic Diseases
A1854,Tuberculous iridocyclitis,Infectious & Parasitic Diseases
A1859,Other tuberculosis of eye,Infectious & Parasitic Diseases
A186,Tuberculosis of (inner) (middle) ear,Infectious & Parasitic Diseases
A187,Tuberculosis of adrenal glands,Infectious & Parasitic Diseases
A1881,Tuberculosis of thyroid gland,Infectious & Parasitic Diseases
A1882,Tuberculosis of other endocrine glands,Infectious & Parasitic Diseases
A1883,"Tuberculosis of digestive tract organs, NEC",Infectious & Parasitic Diseases
A1884,Tuberculosis of heart,Infectious & Parasitic Diseases
A1885,Tuberculosis of spleen,Infectious & Parasitic Diseases
A1889,Tuberculosis of other sites,Infectious & Parasitic Diseases
A190,Acute miliary tuberculosis of a single specified site,Infectious & Parasitic Diseases
A191,Acute miliary tuberculosis of multiple sites,Infectious & Parasitic Diseases
A192,"Acute miliary tuberculosis, unspecified",Infectious & Parasitic Diseases
A198,Other miliary tuberculosis,Infectious & Parasitic Diseases
A199,"Miliary tuberculosis, unspecified",Infectious & Parasitic Diseases
A200,Bubonic plague,Infectious & Parasitic Diseases
A201,Cellulocutaneous plague,Infectious & Parasitic Diseases
A202,Pneumonic plague,Infectious & Parasitic Diseases
A203,Plague meningitis,Infectious & Parasitic Diseases
A207,Septicemic plague,Infectious & Parasitic Diseases
A208,Other forms of plague,Infectious & Parasitic Diseases
A209,"Plague, unspecified",Infectious & Parasitic Diseases
A210,Ulceroglandular tularemia,Infectious & Parasitic Diseases
